"category","content","vet_id"
"reason_for_ultrasound","Posible Cuerpo Extraño a Nivel Intestinal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Distención moderada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Contenido anecoico normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Pared conservada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Conserva buena relación y diferenciación corticomedular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Eplenometria alcanzando un espesor de hasta __ mm","da07b0a1-53a8-42db-9c7a-748415bf9734"
"reason_for_ultrasound","Posibles Parásitos","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Higado Graso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"species","Canino","da07b0a1-53a8-42db-9c7a-748415bf9734"
"species","Felino","da07b0a1-53a8-42db-9c7a-748415bf9734"
"species","Equino","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","SIN MEDICAMENTO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"sex","MACHO  ENTERO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"sex","HEMBRA","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PITBULL","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","PROZAC","da07b0a1-53a8-42db-9c7a-748415bf9734"
"sex","MACHO CASTRADO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Tamaño normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad conservada, bordes finos, triangulares sin exceder el límite anatómico normal del estomago ni del riñón derecho","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad reducida","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad reducida, con aumento del contraste de los vasos sanguíneos","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad aumentada","da07b0a1-53a8-42db-9c7a-748415bf9734"
