"category","content","vet_id"
"spleen","Eplenometria alcanzando un espesor de hasta __ mm","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Tamaño normal  parénquima ecogénico, homogéneo y con textura fina. Cápsula hiperecogénica, lisa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Esplenomegalia","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Parénquima hipoecoico","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Parénquima hiperecoico","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Heterogéneo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Textura gruesa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Bordes lancelados","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Borde redondeado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Plegado sobre sí mismo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Contorno irregular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Patrón de encaje o de cielo estrellado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Vacío","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Distensión leve","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Distensión moderada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Sobredistensión","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido gaseoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","No evaluable.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido alimenticio","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido mucoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido líquido","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido líquido con focos ecogénicos en suspensión","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estratificación conservada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estratificación menos evidenciable","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pérdida total de la estratificación","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pseudoestratificación","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pared de grosor normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pared engrosada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato muscular engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato submucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato mucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Se observa lesión excavada sugerente de úlcera gástrica.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo disminuido","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo ausente, ileo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Tamaño fisiológico, posición normal en su proporción abdominal izquierda,  ecotextura de morfología uniforme, parénquima homogéneo, bordes lancelados, cápsula hiperecogénica lisa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Estructura hipoecoica focal en cuerpo esplenico de _ mm diametro","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo disminuido con retraso en vaciamiento gástrico","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Con pared de grosor normal, peristaltismo normal, estratificación conservada y contenido gaseoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","No evaluable","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Parénquima esplenico de  ecotextura isoecoica comparada con corteza renal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Excepto por una estructura hipoecoica focal en cuerpo esplenico de ___mm diametro","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Capsula de predomineo lisa excepto por el quiste donde se torna irregular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Tamaño levemente aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Sugerente de gastritis urémica.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Parénquima homogenea","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Largo aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","aumento de volumen","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Presenta aumento alfa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"spleen","Ancho disminuido","da07b0a1-53a8-42db-9c7a-748415bf9734"
